,Name,Partner,Technologies,Industry,Processed_CV,Processed_CV_list
0,Carlos Fernandez,TechNova Solutions,"React, Node.js, PostgreSQL",Technology,"1. Web Development
2. Full-Stack Development
3. Front-End Development
4. Back-End Development
5. Database Management","['Web Development', 'Full-Stack Development', 'Front-End Development', 'Back-End Development', 'Database Management']"
1,Carlos Fernandez,TechNova Solutions,"React, Node.js, PostgreSQL",Consulting,"1. Web Development
2. Full-Stack Development
3. Front-End Development
4. Back-End Development
5. Database Management","['Web Development', 'Full-Stack Development', 'Front-End Development', 'Back-End Development', 'Database Management']"
2,Maria Lopez,GreenLeaf Organics,"Vue.js, Django, MySQL",Agriculture,"1. Frontend Development
2. Vue.js Framework
3. Web Application Integration with Django
4. MySQL Database Management
5. Collaborative Team Projects","['Frontend Development', 'Vue.js Framework', 'Web Application Integration with Django', 'MySQL Database Management', 'Collaborative Team Projects']"
3,Maria Lopez,GreenLeaf Organics,"Vue.js, Django, MySQL",Food Industry,"1. Frontend Development
2. Vue.js Framework
3. Web Application Integration with Django
4. MySQL Database Management
5. Collaborative Team Projects","['Frontend Development', 'Vue.js Framework', 'Web Application Integration with Django', 'MySQL Database Management', 'Collaborative Team Projects']"
4,Javier Ramirez,BlueWave Logistics,"Angular, Java, MongoDB",Transportation & Logistics,"1. Backend Development
2. Java Programming
3. NoSQL Databases (MongoDB)
4. Web Development Frameworks (Angular)
5. Problem-Solving and Critical Thinking","['Backend Development', 'Java Programming', 'NoSQL Databases (MongoDB)', 'Web Development Frameworks (Angular)', 'Problem-Solving and Critical Thinking']"
5,Javier Ramirez,BlueWave Logistics,"Angular, Java, MongoDB",Automotive,"1. Backend Development
2. Java Programming
3. NoSQL Databases (MongoDB)
4. Web Development Frameworks (Angular)
5. Problem-Solving and Critical Thinking","['Backend Development', 'Java Programming', 'NoSQL Databases (MongoDB)', 'Web Development Frameworks (Angular)', 'Problem-Solving and Critical Thinking']"
6,Ana Gomez,QuantumMed Innovations,"React, Python, SQLite",Healthcare,"1. Fullstack Web Development
2. Quality Assurance and Testing
3. Frontend Technologies (React)
4. Backend Technologies (Python, SQLite)
5. Team Leadership and Project Management","['Fullstack Web Development', 'Quality Assurance and Testing', 'Frontend Technologies (React)', 'Backend Technologies (Python, SQLite)', 'Team Leadership and Project Management']"
7,Ricardo Martinez,EcoFusion Energy,"Node.js, Express, MongoDB",Renewable Energy,"1. Backend Development
2. Node.js Programming
3. Database Management with MongoDB
4. RESTful API Design using Express
5. Scalable System Architecture","['Backend Development', 'Node.js Programming', 'Database Management with MongoDB', 'RESTful API Design using Express', 'Scalable System Architecture']"
8,Sofia Rodriguez,Stellar Financial,"Angular, Spring Boot, MySQL",Finance,"1. Full Stack Development
2. Front-end Technologies (Angular)
3. Back-end Technologies (Spring Boot)
4. Database Management (MySQL)
5. Project Management","['Full Stack Development', 'Front-end Technologies (Angular)', 'Back-end Technologies (Spring Boot)', 'Database Management (MySQL)', 'Project Management']"
9,Sofia Rodriguez,Stellar Financial,"Angular, Spring Boot, MySQL",Venture Capital,"1. Full Stack Development
2. Front-end Technologies (Angular)
3. Back-end Technologies (Spring Boot)
4. Database Management (MySQL)
5. Project Management","['Full Stack Development', 'Front-end Technologies (Angular)', 'Back-end Technologies (Spring Boot)', 'Database Management (MySQL)', 'Project Management']"
